Left,Right
"[0.5069088339805603, 0.2607085108757019, 1.8786785460633837e-07, 0.49335211515426636, 0.3158995509147644, 0.009236116893589497, 0.4805091321468353, 0.3786070644855499, 0.009239422157406807, 0.4705924987792969, 0.42250216007232666, 0.0066050817258656025, 0.4659191071987152, 0.4602070450782776, 0.0029715802520513535, 0.4705657362937927, 0.42088183760643005, -0.00858321227133274, 0.4509560465812683, 0.48801836371421814, -0.02272510901093483, 0.43312713503837585, 0.5260209441184998, -0.03127606585621834, 0.41731178760528564, 0.5535585880279541, -0.036665841937065125, 0.47333991527557373, 0.4163317084312439, -0.02228519693017006, 0.47054311633110046, 0.5091692209243774, -0.0373496450483799, 0.4698900282382965, 0.573759913444519, -0.04743474721908569, 0.4707425832748413, 0.6246955990791321, -0.054090965539216995, 0.4761230945587158, 0.3937685489654541, -0.035063549876213074, 0.47445300221443176, 0.4725048542022705, -0.04974249750375748, 0.47895705699920654, 0.524715781211853, -0.05947839096188545, 0.4824787974357605, 0.5694524645805359, -0.06635049730539322, 0.47710469365119934, 0.3585153818130493, -0.04639694094657898, 0.47264328598976135, 0.3874607980251312, -0.06328874826431274, 0.4705756902694702, 0.4144473671913147, -0.07237743586301804, 0.46872586011886597, 0.4433513283729553, -0.0781465470790863]",[]
"[0.4692207872867584, 0.2538401484489441, 1.648391361186441e-07, 0.5194144248962402, 0.28085756301879883, -0.004114904440939426, 0.5503973364830017, 0.3381853699684143, 0.0005677380249835551, 0.5682532787322998, 0.39396393299102783, 0.008681484498083591, 0.5806682705879211, 0.4330575466156006, 0.018349025398492813, 0.5290553569793701, 0.4563525915145874, 0.0038853853475302458, 0.5462926030158997, 0.5289774537086487, 0.012441190890967846, 0.5586020350456238, 0.5695141553878784, 0.019342314451932907, 0.565838098526001, 0.5986802577972412, 0.024038588628172874, 0.5002045631408691, 0.4675357937812805, 0.011271962895989418, 0.49865105748176575, 0.545543909072876, 0.020743753761053085, 0.4918595552444458, 0.5840258002281189, 0.02525843121111393, 0.48344388604164124, 0.6088049411773682, 0.028130965307354927, 0.4737517237663269, 0.4564899504184723, 0.018401402980089188, 0.4654417335987091, 0.5214825868606567, 0.022166313603520393, 0.4546322822570801, 0.5588656663894653, 0.019313514232635498, 0.44231346249580383, 0.5823047757148743, 0.017344482243061066, 0.45097795128822327, 0.43534424901008606, 0.02627856843173504, 0.4423752725124359, 0.47903287410736084, 0.027357010170817375, 0.4327426552772522, 0.5029044151306152, 0.02516634576022625, 0.4225507974624634, 0.5215977430343628, 0.024331457912921906]",[]
"[0.46327775716781616, 0.3078140318393707, 3.587459502796264e-07, 0.5049986243247986, 0.3393796682357788, -0.006020873785018921, 0.5358148813247681, 0.3890421390533447, -0.015124504454433918, 0.5557461977005005, 0.4376567304134369, -0.0231022909283638, 0.5707942843437195, 0.4790779948234558, -0.0330226793885231, 0.516127347946167, 0.43532007932662964, -0.033016081899404526, 0.5301905274391174, 0.5064672231674194, -0.049415223300457, 0.5377154350280762, 0.5546126961708069, -0.05892212316393852, 0.5424619913101196, 0.5944673418998718, -0.06569597125053406, 0.49398741126060486, 0.4473632574081421, -0.03960148245096207, 0.5010029673576355, 0.5285441875457764, -0.05742347612977028, 0.5051977634429932, 0.5863393545150757, -0.06830058246850967, 0.5060898065567017, 0.6305396556854248, -0.07626387476921082, 0.47096842527389526, 0.44375357031822205, -0.045258961617946625, 0.4741404950618744, 0.5262510776519775, -0.06566271185874939, 0.47160735726356506, 0.5832422971725464, -0.07778309285640717, 0.46666207909584045, 0.6277002692222595, -0.08536361902952194, 0.44733279943466187, 0.43011459708213806, -0.04963541775941849, 0.4454524517059326, 0.4908784031867981, -0.0708344578742981, 0.4388425946235657, 0.5364677309989929, -0.08099547773599625, 0.43032243847846985, 0.5736961364746094, -0.08700133115053177]",[]
[],"[0.5507819056510925, 0.3845158517360687, 3.84557466759361e-07, 0.5246553421020508, 0.4096188247203827, -0.012366662733256817, 0.499776691198349, 0.4453727900981903, -0.02364751324057579, 0.47870323061943054, 0.47095462679862976, -0.03301091864705086, 0.46291422843933105, 0.49986061453819275, -0.04252239316701889, 0.5162524580955505, 0.5070505142211914, -0.03090342879295349, 0.49627646803855896, 0.5740587711334229, -0.04556618258357048, 0.47944656014442444, 0.614423930644989, -0.05399045720696449, 0.46578922867774963, 0.6436787843704224, -0.05871441587805748, 0.5277556777000427, 0.5153571963310242, -0.032326165586709976, 0.5120737552642822, 0.5951622128486633, -0.04773004353046417, 0.4924211800098419, 0.644839882850647, -0.056034039705991745, 0.47649073600769043, 0.6767534613609314, -0.06070110574364662, 0.5375456213951111, 0.5095903873443604, -0.033640749752521515, 0.5223166942596436, 0.5849870443344116, -0.047532208263874054, 0.5018131732940674, 0.6317344903945923, -0.056481845676898956, 0.4839423596858978, 0.6636381149291992, -0.06211273372173309, 0.5446977019309998, 0.49267423152923584, -0.035020504146814346, 0.5348133444786072, 0.5249272584915161, -0.047714538872241974, 0.5206104516983032, 0.5364061594009399, -0.052536867558956146, 0.5092564225196838, 0.5377212762832642, -0.05475399270653725]"
"[0.4559175372123718, 0.3203975558280945, 3.8377876876438677e-07, 0.5000020265579224, 0.3505546748638153, -0.007869785651564598, 0.5326461791992188, 0.4016759693622589, -0.017248714342713356, 0.5535479187965393, 0.45776787400245667, -0.024628927931189537, 0.5678819417953491, 0.5062383413314819, -0.03308447077870369, 0.5146212577819824, 0.44973209500312805, -0.033593326807022095, 0.5293135643005371, 0.5229023694992065, -0.048584431409835815, 0.5369052290916443, 0.5714448094367981, -0.05663830041885376, 0.5414136648178101, 0.6108167171478271, -0.061769235879182816, 0.49098265171051025, 0.4666067361831665, -0.037411727011203766, 0.49654078483581543, 0.5531131029129028, -0.052955783903598785, 0.49992597103118896, 0.6128852367401123, -0.061458975076675415, 0.4993855953216553, 0.6554189324378967, -0.0674041360616684, 0.46674779057502747, 0.46943163871765137, -0.04010346531867981, 0.4694559872150421, 0.5520783066749573, -0.056358084082603455, 0.4684452414512634, 0.6077799201011658, -0.06444522738456726, 0.46443983912467957, 0.6486588716506958, -0.06920195370912552, 0.4432411193847656, 0.460948646068573, -0.041940588504076004, 0.44346216320991516, 0.5257783532142639, -0.05813928693532944, 0.4374215006828308, 0.5695399641990662, -0.06413283944129944, 0.4293232858181, 0.6032609343528748, -0.06680414080619812]",[]
"[0.4655250906944275, 0.2922462821006775, 4.256379781963915e-07, 0.5108107328414917, 0.322085440158844, -0.013661572709679604, 0.5430392622947693, 0.3786444365978241, -0.025543617084622383, 0.5611005425453186, 0.44552457332611084, -0.0338854156434536, 0.5768836736679077, 0.5010484457015991, -0.043112821877002716, 0.5223748683929443, 0.4419385492801666, -0.04173681139945984, 0.5470065474510193, 0.5189872980117798, -0.058340489864349365, 0.5617349147796631, 0.5677856802940369, -0.06716115772724152, 0.572535514831543, 0.6093848347663879, -0.07264290004968643, 0.4955245554447174, 0.4580681324005127, -0.041444867849349976, 0.49554455280303955, 0.5466529726982117, -0.0584564246237278, 0.4910013675689697, 0.6047642827033997, -0.06585995107889175, 0.48351335525512695, 0.6465378403663635, -0.0704863891005516, 0.4702906906604767, 0.45530861616134644, -0.04022585600614548, 0.46699875593185425, 0.5398972034454346, -0.05953390523791313, 0.4638235867023468, 0.5977979302406311, -0.06754191219806671, 0.45827099680900574, 0.6408361792564392, -0.07122155278921127, 0.4473367929458618, 0.4436599314212799, -0.03822280839085579, 0.4444786608219147, 0.5135440826416016, -0.055717989802360535, 0.43628084659576416, 0.5605396032333374, -0.060785770416259766, 0.4263359010219574, 0.5978767275810242, -0.06234705075621605]",[]
"[0.5380768179893494, 0.2484654188156128, 4.2471287997614127e-07, 0.5690101981163025, 0.3179238438606262, -0.014578083530068398, 0.5800082087516785, 0.3986767530441284, -0.028239089995622635, 0.5825588703155518, 0.47159379720687866, -0.03870975598692894, 0.5917193293571472, 0.5364238619804382, -0.05115363001823425, 0.5452539324760437, 0.450447142124176, -0.04722350463271141, 0.5434309840202332, 0.5383592844009399, -0.0681539997458458, 0.5389973521232605, 0.5900837779045105, -0.08019939064979553, 0.5324802994728088, 0.634461522102356, -0.08830680698156357, 0.5156517028808594, 0.4471014440059662, -0.050424184650182724, 0.5023497939109802, 0.5502594709396362, -0.07217810302972794, 0.4893333315849304, 0.6135784387588501, -0.08539203554391861, 0.4752117395401001, 0.6596360206604004, -0.09510152786970139, 0.49282756447792053, 0.427452027797699, -0.05282328650355339, 0.4686005115509033, 0.5214656591415405, -0.0761624127626419, 0.45118600130081177, 0.5771435499191284, -0.08938729017972946, 0.43492552638053894, 0.6149700284004211, -0.09791940450668335, 0.47538474202156067, 0.3959444463253021, -0.05457857996225357, 0.4481012225151062, 0.4550802409648895, -0.07669752091169357, 0.427609384059906, 0.48821550607681274, -0.08655115962028503, 0.4101863503456116, 0.5110394358634949, -0.09253936260938644]",[]
[],"[0.5305514335632324, 0.2889477610588074, 3.1968158964446047e-07, 0.5703199505805969, 0.3418562710285187, -0.01235491968691349, 0.5878103971481323, 0.42324399948120117, -0.01708015613257885, 0.5962076187133789, 0.4911530017852783, -0.02034914866089821, 0.6040734052658081, 0.5452532768249512, -0.02381693199276924, 0.5550772547721863, 0.5104177594184875, -0.008556799031794071, 0.5512828826904297, 0.5751011967658997, -0.016896992921829224, 0.546033501625061, 0.6160205006599426, -0.024440167471766472, 0.5375637412071228, 0.6469228267669678, -0.030338674783706665, 0.5246354937553406, 0.5098332166671753, -0.009703611023724079, 0.5115349888801575, 0.5887706279754639, -0.014565937221050262, 0.5006808638572693, 0.6397063732147217, -0.020808706060051918, 0.48772937059402466, 0.6783076524734497, -0.026140596717596054, 0.4980316162109375, 0.48621001839637756, -0.013037901371717453, 0.47606799006462097, 0.5589107871055603, -0.023758677765727043, 0.45834505558013916, 0.6027414202690125, -0.034344032406806946, 0.44100987911224365, 0.639859139919281, -0.042302925139665604, 0.4764328598976135, 0.44539299607276917, -0.016798995435237885, 0.4500129222869873, 0.4749739468097687, -0.03176848217844963, 0.4295779764652252, 0.49341967701911926, -0.04052709415555, 0.41077858209609985, 0.5116479396820068, -0.04603497311472893]"
"[0.5459126830101013, 0.32199525833129883, 4.6568902689614333e-07, 0.5828157067298889, 0.3614804744720459, -0.023297375068068504, 0.5976873636245728, 0.42414790391921997, -0.036110032349824905, 0.6002311110496521, 0.4901360869407654, -0.04351969063282013, 0.6094862818717957, 0.5507221817970276, -0.05045294761657715, 0.5614892840385437, 0.4949336349964142, -0.03735899180173874, 0.555845320224762, 0.5682551860809326, -0.05064941942691803, 0.5509213209152222, 0.613735556602478, -0.05844530463218689, 0.5451169013977051, 0.6536769866943359, -0.06389825791120529, 0.5309267044067383, 0.5031434893608093, -0.03259970620274544, 0.5188936591148376, 0.5896734595298767, -0.051444653421640396, 0.5054395198822021, 0.6482216119766235, -0.06394141167402267, 0.4918927550315857, 0.6938798427581787, -0.07204996049404144, 0.5073236227035522, 0.48738667368888855, -0.02769319899380207, 0.48728498816490173, 0.5595324039459229, -0.04764281585812569, 0.46706050634384155, 0.6095134615898132, -0.05792510136961937, 0.4488750398159027, 0.6488947868347168, -0.06320828199386597, 0.4902099370956421, 0.45897358655929565, -0.022922273725271225, 0.4766697585582733, 0.5109305381774902, -0.03964916244149208, 0.4636690318584442, 0.5374665856361389, -0.04470891132950783, 0.45280227065086365, 0.5598849654197693, -0.046704839915037155]",[]
"[0.5230584144592285, 0.3048860430717468, 4.568317422126711e-07, 0.5679606199264526, 0.33687281608581543, -0.03160916641354561, 0.5898301601409912, 0.4032128155231476, -0.04672810062766075, 0.5988810062408447, 0.47782382369041443, -0.05489802733063698, 0.6098088622093201, 0.540887176990509, -0.0624789297580719, 0.5540717244148254, 0.4751361310482025, -0.04339507222175598, 0.5530076622962952, 0.5521703362464905, -0.05902281031012535, 0.547545313835144, 0.5998314023017883, -0.06944771856069565, 0.5394426584243774, 0.6405866146087646, -0.07651661336421967, 0.5217829346656799, 0.4894367456436157, -0.033674031496047974, 0.515884518623352, 0.5799534320831299, -0.048924677073955536, 0.5058193802833557, 0.6390994787216187, -0.05878661572933197, 0.49323832988739014, 0.6855982542037964, -0.06631768494844437, 0.49749499559402466, 0.48124492168426514, -0.025277528911828995, 0.48108047246932983, 0.5578658580780029, -0.041929565370082855, 0.46437570452690125, 0.6068093776702881, -0.05150511488318443, 0.44691410660743713, 0.6438575983047485, -0.05758138373494148, 0.4805958867073059, 0.46055176854133606, -0.018229952082037926, 0.4582635164260864, 0.5185493230819702, -0.03400249406695366, 0.4374544024467468, 0.5494146347045898, -0.040723491460084915, 0.4181276559829712, 0.5748559236526489, -0.04460858926177025]",[]
