Left,Right
"[0.5127410292625427, 0.5783625841140747, 2.185675072041704e-07, 0.5429796576499939, 0.5374502539634705, 0.01878439076244831, 0.5572903752326965, 0.4895377457141876, 0.021338313817977905, 0.5649290680885315, 0.4545194208621979, 0.01836441643536091, 0.574459433555603, 0.4253287613391876, 0.014886226505041122, 0.5196613669395447, 0.42486250400543213, 0.008472560904920101, 0.5337435603141785, 0.3408661484718323, 0.0013649542815983295, 0.5560118556022644, 0.31881898641586304, -0.0017436548369005322, 0.5743117928504944, 0.31955426931381226, -0.0014664982445538044, 0.5037564039230347, 0.414432168006897, -0.006145287770777941, 0.5136862397193909, 0.31052345037460327, -0.014917748980224133, 0.5437576770782471, 0.2938344478607178, -0.01712476834654808, 0.5666463375091553, 0.3081396222114563, -0.015899095684289932, 0.4923895001411438, 0.41245996952056885, -0.01968267373740673, 0.5002596378326416, 0.3065120279788971, -0.025639625266194344, 0.5307477712631226, 0.29385459423065186, -0.024833353236317635, 0.5545822978019714, 0.3044624328613281, -0.022486910223960876, 0.4864233732223511, 0.41828054189682007, -0.03138578683137894, 0.4942295253276825, 0.3392583429813385, -0.03559921309351921, 0.5170629024505615, 0.3120530843734741, -0.0345722995698452, 0.5372390747070312, 0.3049461245536804, -0.032085318118333817]",[]
"[0.5169880986213684, 0.3845023512840271, -4.669974984494729e-08, 0.4814884662628174, 0.31425923109054565, -0.0158995334059, 0.4713478684425354, 0.22119198739528656, -0.023077955469489098, 0.47363340854644775, 0.14802034199237823, -0.03132271766662598, 0.4722631573677063, 0.08724454045295715, -0.03828951716423035, 0.5227015018463135, 0.14997145533561707, 0.0016834448324516416, 0.537872314453125, 0.07189307361841202, -0.014743361622095108, 0.5407503247261047, 0.028773516416549683, -0.03178877755999565, 0.5367472767829895, 0.00658223032951355, -0.043182723224163055, 0.5460976362228394, 0.16376686096191406, -0.0019024714129045606, 0.5723732709884644, 0.07361481338739395, -0.024174802005290985, 0.5649293065071106, 0.05259672552347183, -0.0431688167154789, 0.5465444922447205, 0.07372617721557617, -0.052418988198041916, 0.5640034079551697, 0.18778389692306519, -0.008948691189289093, 0.5906990170478821, 0.11329321563243866, -0.026031527668237686, 0.5790262818336487, 0.08790034800767899, -0.03878289833664894, 0.559436023235321, 0.10327644646167755, -0.04418165981769562, 0.581053614616394, 0.22566846013069153, -0.01815520040690899, 0.5963506698608398, 0.1665026992559433, -0.030157120898365974, 0.5879067778587341, 0.1313353031873703, -0.038589347153902054, 0.5715458989143372, 0.1244000568985939, -0.04288683086633682]","[0.45409250259399414, 0.6731486916542053, 3.076180732364264e-08, 0.4669725000858307, 0.6199846863746643, -0.020440328866243362, 0.46799859404563904, 0.5778903961181641, -0.03604300692677498, 0.4657934904098511, 0.5615814924240112, -0.05086064711213112, 0.4629545211791992, 0.5697796940803528, -0.0653371810913086, 0.4493468105792999, 0.5583809614181519, -0.03276681527495384, 0.4353960454463959, 0.5373510718345642, -0.0600568950176239, 0.44474443793296814, 0.5665574073791504, -0.07634206861257553, 0.45785143971443176, 0.5938228368759155, -0.08436252921819687, 0.4337199330329895, 0.5959402322769165, -0.0340672992169857, 0.42377281188964844, 0.5881938934326172, -0.06707984209060669, 0.44451791048049927, 0.6319149136543274, -0.07839792221784592, 0.46445992588996887, 0.6625823974609375, -0.08080477267503738, 0.42082053422927856, 0.6341140866279602, -0.03768393397331238, 0.41131147742271423, 0.6339886784553528, -0.06868614256381989, 0.4336344301700592, 0.6745796203613281, -0.06982079893350601, 0.4537082314491272, 0.7016522884368896, -0.0641060546040535, 0.41242140531539917, 0.670874834060669, -0.04259708523750305, 0.40175923705101013, 0.6791418194770813, -0.06196614354848862, 0.41425618529319763, 0.7012996077537537, -0.06098676472902298, 0.4269556999206543, 0.7132717370986938, -0.05672382935881615]"
[],"[0.5932536125183105, 0.2964290976524353, -2.995719938780894e-08, 0.6370359659194946, 0.3411731719970703, -0.015064237639307976, 0.6845319867134094, 0.32615917921066284, -0.030895525589585304, 0.7188768982887268, 0.2725953757762909, -0.040442608296871185, 0.7308268547058105, 0.21454378962516785, -0.04786602035164833, 0.6531528234481812, 0.28390979766845703, -0.07097748667001724, 0.7086024880409241, 0.18254691362380981, -0.0870535671710968, 0.7109861373901367, 0.2107444703578949, -0.08329834043979645, 0.6941548585891724, 0.24410492181777954, -0.07583744078874588, 0.6257491707801819, 0.2362111508846283, -0.06590180844068527, 0.6886506676673889, 0.1507827490568161, -0.07683394104242325, 0.6924923658370972, 0.1826135516166687, -0.06823506951332092, 0.67579585313797, 0.21090427041053772, -0.06215780973434448, 0.6055499911308289, 0.19816724956035614, -0.05792636424303055, 0.6626166701316833, 0.12879416346549988, -0.06082799658179283, 0.6674208045005798, 0.16059397161006927, -0.04788830876350403, 0.6541858315467834, 0.18511760234832764, -0.04111625999212265, 0.5904334187507629, 0.16949811577796936, -0.0500616729259491, 0.6353075504302979, 0.12614938616752625, -0.050761450082063675, 0.6415027976036072, 0.1516859233379364, -0.042537588626146317, 0.6312136054039001, 0.17172756791114807, -0.037625670433044434]"
"[0.601433515548706, 0.3201616704463959, 3.646852420047253e-08, 0.6303324103355408, 0.29586440324783325, -0.022487323731184006, 0.6494019031524658, 0.22825375199317932, -0.03359587490558624, 0.6632609367370605, 0.1754288226366043, -0.041306622326374054, 0.6728705167770386, 0.12796400487422943, -0.04441656172275543, 0.5855144262313843, 0.15097153186798096, -0.026548098772764206, 0.6430630087852478, 0.09809638559818268, -0.04551771283149719, 0.6641682386398315, 0.14007706940174103, -0.05479900538921356, 0.6626394987106323, 0.16878989338874817, -0.058232273906469345, 0.5797097682952881, 0.1431984156370163, -0.021557031199336052, 0.6424617767333984, 0.0978899672627449, -0.037497714161872864, 0.6586079001426697, 0.14432771503925323, -0.04014083743095398, 0.6523699760437012, 0.1703968048095703, -0.03991998732089996, 0.5837213397026062, 0.14561094343662262, -0.01908900775015354, 0.6462284922599792, 0.10920967906713486, -0.03288465738296509, 0.6566345691680908, 0.15199291706085205, -0.02741825208067894, 0.6482477188110352, 0.17396335303783417, -0.021589091047644615, 0.5926317572593689, 0.1543213427066803, -0.01854582130908966, 0.6437380313873291, 0.1264302283525467, -0.025928085669875145, 0.6533376574516296, 0.16090314090251923, -0.020417824387550354, 0.6485500931739807, 0.18224714696407318, -0.015015569515526295]","[0.5573151707649231, 0.7091748714447021, 1.3074249238798075e-07, 0.5661420822143555, 0.6486197113990784, -0.015864422544836998, 0.5570132732391357, 0.5799441337585449, -0.020980922505259514, 0.5279831290245056, 0.5481187701225281, -0.02529298886656761, 0.4999525249004364, 0.5430645942687988, -0.02938441000878811, 0.5159735083580017, 0.5561796426773071, -0.0004236207460053265, 0.49317681789398193, 0.5213603377342224, -0.013463242910802364, 0.47264549136161804, 0.5099272131919861, -0.026771847158670425, 0.459261953830719, 0.5108218789100647, -0.03472830727696419, 0.49705904722213745, 0.5853011608123779, 0.0013701891293749213, 0.47136765718460083, 0.5503544211387634, -0.010760821402072906, 0.4520860016345978, 0.5383244752883911, -0.02383594773709774, 0.4391602873802185, 0.5437716245651245, -0.03140956535935402, 0.48394957184791565, 0.6168642640113831, 0.00033731330768205225, 0.45905807614326477, 0.5831987857818604, -0.010658706538379192, 0.442943274974823, 0.5676249861717224, -0.017694992944598198, 0.432414174079895, 0.5678051710128784, -0.0205185879021883, 0.4751092791557312, 0.6539723873138428, -0.0023917597718536854, 0.45295244455337524, 0.6221554279327393, -0.011380698531866074, 0.43972909450531006, 0.6025879383087158, -0.014489780180156231, 0.4308568239212036, 0.5927333235740662, -0.01483120210468769]"
"[0.5701718926429749, 0.5551049113273621, 1.1351060091868703e-09, 0.5982769131660461, 0.5134620070457458, -0.02420344203710556, 0.6179138422012329, 0.4703964591026306, -0.04239576682448387, 0.6336753368377686, 0.444767564535141, -0.060655899345874786, 0.6285349726676941, 0.4359011650085449, -0.07793157547712326, 0.5702659487724304, 0.38863950967788696, -0.02762446738779545, 0.5469064712524414, 0.3388811945915222, -0.058801908046007156, 0.5467987060546875, 0.36319366097450256, -0.0785008892416954, 0.5551272630691528, 0.3976518213748932, -0.08730520308017731, 0.5465296506881714, 0.4195823669433594, -0.027911532670259476, 0.5260791778564453, 0.3898167014122009, -0.06263697147369385, 0.5427095293998718, 0.4370255172252655, -0.07618450373411179, 0.5630828738212585, 0.4792589247226715, -0.07855862379074097, 0.5301240086555481, 0.45628753304481506, -0.03184027969837189, 0.5159804224967957, 0.4459857642650604, -0.06208737939596176, 0.5378066301345825, 0.4850429594516754, -0.06464660912752151, 0.55912846326828, 0.51609867811203, -0.05898962914943695, 0.5203436613082886, 0.4948890209197998, -0.03784657269716263, 0.5075168013572693, 0.4889216721057892, -0.05572536215186119, 0.523775041103363, 0.5134420394897461, -0.05551036447286606, 0.5423136353492737, 0.5325562357902527, -0.05079401656985283]",[]
"[0.585332453250885, 0.5660016536712646, 5.029686889201912e-09, 0.6113948225975037, 0.5354794263839722, -0.03319375962018967, 0.6282338500022888, 0.5023029446601868, -0.05911734327673912, 0.6434246897697449, 0.4855242967605591, -0.0843987762928009, 0.6584960222244263, 0.4875648021697998, -0.10867292433977127, 0.5746094584465027, 0.3999805748462677, -0.03483635559678078, 0.5507945418357849, 0.36238840222358704, -0.070025734603405, 0.5522382855415344, 0.3915511965751648, -0.0931510254740715, 0.5637992024421692, 0.43061572313308716, -0.10326812416315079, 0.552098274230957, 0.43394502997398376, -0.0318845734000206, 0.5335594415664673, 0.4208320677280426, -0.07108518481254578, 0.5513134598731995, 0.4689442217350006, -0.08630535006523132, 0.574524998664856, 0.5096453428268433, -0.08831441402435303, 0.5363569259643555, 0.4712112545967102, -0.033506978303194046, 0.5245222449302673, 0.47375914454460144, -0.06766832619905472, 0.5476778149604797, 0.5195472836494446, -0.0717276856303215, 0.5707327127456665, 0.5556700825691223, -0.06537092477083206, 0.5261123180389404, 0.5094545483589172, -0.03806420788168907, 0.5126585364341736, 0.5125212669372559, -0.05884329974651337, 0.5294846892356873, 0.542855441570282, -0.059529609978199005, 0.5486060380935669, 0.5655505657196045, -0.054142195731401443]",[]
"[0.593159556388855, 0.5697590112686157, -2.2577335556661637e-08, 0.6142990589141846, 0.5444024801254272, -0.034262701869010925, 0.6276636123657227, 0.5141732692718506, -0.060128964483737946, 0.6413030624389648, 0.49766314029693604, -0.08497528731822968, 0.6503514647483826, 0.4924778342247009, -0.10836974531412125, 0.5737793445587158, 0.4151141047477722, -0.038609579205513, 0.5457325577735901, 0.3725215494632721, -0.07478364557027817, 0.5504902601242065, 0.4049023389816284, -0.09685488045215607, 0.5648884773254395, 0.44293972849845886, -0.10586920380592346, 0.5503584146499634, 0.4498576521873474, -0.03521450608968735, 0.5303285121917725, 0.43909505009651184, -0.07442886382341385, 0.5527823567390442, 0.4897410273551941, -0.08749426156282425, 0.578477144241333, 0.5250533819198608, -0.08841688185930252, 0.5336998105049133, 0.48863840103149414, -0.03662550449371338, 0.5216132402420044, 0.4904409646987915, -0.0713072121143341, 0.5479972958564758, 0.5376938581466675, -0.07314666360616684, 0.5734219551086426, 0.5698078870773315, -0.06562193483114243, 0.5234287977218628, 0.5288156867027283, -0.040998831391334534, 0.5090754628181458, 0.5302234292030334, -0.0621858611702919, 0.5273227691650391, 0.5596535205841064, -0.06187886372208595, 0.5474328994750977, 0.5798659920692444, -0.05597632750868797]","[0.6113062500953674, 0.40587475895881653, -3.087962454628723e-07, 0.5764757990837097, 0.34700778126716614, -0.015025523491203785, 0.5697863101959229, 0.2494080364704132, -0.019816620275378227, 0.5848456025123596, 0.17308630049228668, -0.024966927245259285, 0.6058477759361267, 0.12596553564071655, -0.027662692591547966, 0.6074775457382202, 0.1961742341518402, 0.002645414788275957, 0.6289947032928467, 0.13978782296180725, -0.018730971962213516, 0.6267367601394653, 0.17174161970615387, -0.03288199007511139, 0.6175228357315063, 0.21146178245544434, -0.0387517549097538, 0.6327313184738159, 0.21970021724700928, 0.0011675930581986904, 0.6529714465141296, 0.17147913575172424, -0.021954167634248734, 0.6365264654159546, 0.22633706033229828, -0.03081546723842621, 0.6202713251113892, 0.2705496847629547, -0.03033497929573059, 0.6540226936340332, 0.2511489987373352, -0.004584787413477898, 0.6720314025878906, 0.2069656252861023, -0.02912377193570137, 0.650188148021698, 0.26111358404159546, -0.027194218710064888, 0.6333373785018921, 0.3017347455024719, -0.018519245088100433, 0.6740630269050598, 0.2915872037410736, -0.011678066104650497, 0.6839522123336792, 0.2578441798686981, -0.030142096802592278, 0.665916919708252, 0.2963251769542694, -0.02715756557881832, 0.6520637273788452, 0.3274770975112915, -0.019564365968108177]"
"[0.5904240012168884, 0.5639896392822266, -7.34486738096507e-09, 0.6114357709884644, 0.5360708236694336, -0.03324207663536072, 0.6262417435646057, 0.5063578486442566, -0.05827070400118828, 0.6386326551437378, 0.49438008666038513, -0.08227236568927765, 0.6375910043716431, 0.4960765838623047, -0.10486867278814316, 0.5675787329673767, 0.4169151186943054, -0.03818757086992264, 0.5380492210388184, 0.3761627674102783, -0.07347159087657928, 0.5451685786247253, 0.4086971580982208, -0.09560475498437881, 0.5618237257003784, 0.44791656732559204, -0.1048702523112297, 0.5447497963905334, 0.45338428020477295, -0.035192642360925674, 0.5250521302223206, 0.4451808035373688, -0.07401377707719803, 0.5490462183952332, 0.49648869037628174, -0.08749446272850037, 0.5752700567245483, 0.5338830351829529, -0.08891285955905914, 0.5286391377449036, 0.4935727119445801, -0.036739982664585114, 0.5156388282775879, 0.49658846855163574, -0.07043102383613586, 0.5418447852134705, 0.5425957441329956, -0.07209094613790512, 0.567404568195343, 0.5743341445922852, -0.06481947749853134, 0.5195034742355347, 0.5344325304031372, -0.04122161120176315, 0.5043386220932007, 0.5383935570716858, -0.061847954988479614, 0.5230644345283508, 0.5660486817359924, -0.06126994639635086, 0.5436359643936157, 0.5840301513671875, -0.05540849640965462]","[0.6075528860092163, 0.4001160264015198, -3.1191945026876056e-07, 0.5737661123275757, 0.3453139364719391, -0.013669854961335659, 0.5659274458885193, 0.24896033108234406, -0.018305901437997818, 0.5799781084060669, 0.17399609088897705, -0.023818427696824074, 0.6017892956733704, 0.1293584108352661, -0.027285169810056686, 0.6054330468177795, 0.19961921870708466, 0.0029985744040459394, 0.622973620891571, 0.14023247361183167, -0.017361242324113846, 0.6213924884796143, 0.16380272805690765, -0.03085862100124359, 0.6133576035499573, 0.2017143815755844, -0.0365866981446743, 0.630022406578064, 0.22241723537445068, 0.0005854362389072776, 0.6488534808158875, 0.16946059465408325, -0.022980818524956703, 0.6328232884407043, 0.22104738652706146, -0.03188355639576912, 0.6160068511962891, 0.2667219340801239, -0.03116581030189991, 0.6508994102478027, 0.2529371976852417, -0.005840629804879427, 0.6674273610115051, 0.20581288635730743, -0.03051721304655075, 0.6464484333992004, 0.2597173750400543, -0.02871093899011612, 0.6299502849578857, 0.303146094083786, -0.019970698282122612, 0.6717333793640137, 0.29253941774368286, -0.01350852195173502, 0.680708646774292, 0.25457924604415894, -0.03187501057982445, 0.6625517010688782, 0.2919861078262329, -0.028979763388633728, 0.6475422978401184, 0.3250024616718292, -0.021560320630669594]"
"[0.5833584070205688, 0.5678744912147522, -2.143261212950165e-08, 0.6066064834594727, 0.5314165949821472, -0.033333878964185715, 0.6234840750694275, 0.4917576313018799, -0.058077432215213776, 0.6357771158218384, 0.47846242785453796, -0.0821724608540535, 0.6288946866989136, 0.49575313925743103, -0.10488343238830566, 0.5666173696517944, 0.4154718220233917, -0.036957018077373505, 0.5344519019126892, 0.36821943521499634, -0.07394702732563019, 0.5408482551574707, 0.4003030061721802, -0.0962604433298111, 0.5581598281860352, 0.4404509365558624, -0.1051250621676445, 0.5430393815040588, 0.4536239206790924, -0.03462421894073486, 0.5188984870910645, 0.4379315972328186, -0.0768425315618515, 0.54380202293396, 0.49289989471435547, -0.09085626155138016, 0.5718149542808533, 0.5330495834350586, -0.09118130058050156, 0.5256651043891907, 0.49269750714302063, -0.03718824312090874, 0.5102028250694275, 0.49193814396858215, -0.07433118671178818, 0.5382184982299805, 0.5415552854537964, -0.07676388323307037, 0.565136730670929, 0.5743294954299927, -0.06840669363737106, 0.5148932933807373, 0.5302380323410034, -0.042662546038627625, 0.49795985221862793, 0.5302730202674866, -0.06508450955152512, 0.5166686773300171, 0.5630990266799927, -0.06481315940618515, 0.5374925136566162, 0.5851848721504211, -0.05851420760154724]",[]
[],"[0.5205017924308777, 0.3827025294303894, -6.52509655196809e-08, 0.484808087348938, 0.3143804669380188, -0.01667027361690998, 0.4746764004230499, 0.22076621651649475, -0.024531619623303413, 0.47559669613838196, 0.1485804170370102, -0.033480897545814514, 0.4734857678413391, 0.08786489069461823, -0.04121845215559006, 0.526128351688385, 0.14943571388721466, 0.0003279233642388135, 0.54424649477005, 0.0702095553278923, -0.017924576997756958, 0.5448805093765259, 0.029923416674137115, -0.03665917366743088, 0.5379798412322998, 0.014981739223003387, -0.04856718331575394, 0.5487917065620422, 0.16478131711483002, -0.0034129612613469362, 0.5795151591300964, 0.07327175885438919, -0.027040597051382065, 0.5685802102088928, 0.056779734790325165, -0.047365862876176834, 0.5475477576255798, 0.0822153389453888, -0.05723405256867409, 0.5659319162368774, 0.1893772929906845, -0.010677635669708252, 0.5954667329788208, 0.11498314142227173, -0.02811805158853531, 0.581545352935791, 0.09334070980548859, -0.04188026860356331, 0.5616559386253357, 0.11552266776561737, -0.04781521111726761, 0.582064688205719, 0.2272215187549591, -0.020171422511339188, 0.5979017615318298, 0.16632886230945587, -0.031233880668878555, 0.5887103080749512, 0.13548150658607483, -0.03933873027563095, 0.573132336139679, 0.1361747831106186, -0.04356735199689865]"
